Delaware,1999,The First State
Pennsylvania,1999,Virtue-Liberty-Independence
New Jersey,1999,Crossroads of the Revolution
Georgia,1999,Wisdom-Justice-Moderation
Connecticut,1999,The Charter Oak
Massachusetts,2000,The Bay State
Maryland,2000,The Old Line State
South Carolina,2000,The Palmetto State
New Hampshire,2000,Old Man of the Mountain - Live Free or Die
Virginia,2000,Jamestown 1607-2007 - Quadricentennial
New York,2001,Gateway to Freedom
North Carolina,2001,First Flight
Rhode Island,2001,The Ocean State
Vermont,2001,Freedom and Unity
Kentucky,2001,My Old Kentucky Home
Tennessee,2002,Musical Heritage
Ohio,2002,Birthplace of Aviation Pioneers
Louisiana,2002,Louisiana Purchase
Indiana,2002,Crossroads of America
Mississippi,2002,The Magnolia State
Illinois,2003,Land of Lincoln - 21st State-Century
Alabama,2003,Spirit of Courage
Maine,2003,
Missouri,2003,Corps of Discovery 1804-2004
Arkansas,2003,
Michigan,2004,Great Lakes State
Florida,2004,Gateway to Discovery
Texas,2004,The Lone Star State
Iowa,2004,Fountain in Education - Grant Wood
Wisconsin,2004,FORWARD
California,2005,John Muir - Yosemite Valley
Minnesota,2005,Land of 10000 Lakes
Oregon,2005,Crater Lake
Kansas,2005,
West Virginia,2005,New River Gorge
Nevada,2006,The Silver State
Nebraska,2006,Chimney Rock
Colorado,2006,Colorful Colorado
North Dakota,2006,
South Dakota,2006,
Montana,2007,Big Sky Country
Washington,2007,The Evergreen State
Idaho,2007,Esto Perpetua - Let it be perpetual
Wyoming,2007,The Equality State
Utah,2007,Crossroads of the West
Oklahoma,2008,
New Mexico,2008,Land of Enchantment
Arizona,2008,Grand Canyon State
Alaska,2008,The Great Land
Hawaii,2008,The Life of the Land is Perpetuated in Righteousness
Washington DC,2009,Duke Ellington - Justice For All
Puerto Rico,2009,Island of Enchantment
Guam,2009,Guam - The Land of Chamorro
American Samoa,2009,"Samoa, God is First"
US Virgin Islands,2009,United in Pride and Hope
Northern Mariana Islands,2009,
